TIMESTAMP,RECORD,Furnace_Body_Avg,Die_1_Out_Avg,Die_2_Out_Avg,Die_3_Out_Avg,Die_4_Out_Avg,Die_In_All_Avg,Die_Temp_Avg,AC_Current_Avg,Water_Flow_GPM,Pulse_Avg,PTemp_C_Avg
3/2/2022 11:20,0,508.3,69.47,50.69,68.28,50.66,51.6,197.8,70.6,0,0,20.1
3/2/2022 11:22,1,637.7,69.5,50.74,68.07,51.12,51.64,256.5,70.68,0,0,20.11
3/2/2022 11:24,2,773.7,69.6,51.02,67.83,51.46,51.65,330.5,70.82,0,0,20.14
3/2/2022 11:26,3,793.6,69.65,51.11,67.67,51.67,51.73,352,71.03,0,0,20.18
3/2/2022 11:28,4,769.1,69.7,51.12,67.53,51.7,51.75,352.1,71.27,0,0,20.23
3/2/2022 11:30,5,749.3,69.8,51.23,67.44,51.82,51.83,355.4,71.49,0,0,20.27
3/2/2022 11:32,6,755.8,69.94,51.36,67.38,51.88,51.87,371.9,71.65,0,0,20.32
3/2/2022 11:34,7,753.6,70.08,51.49,67.34,51.97,51.93,381.1,71.82,0,0,20.37
3/2/2022 11:36,8,754.3,70.25,51.63,67.32,52.01,51.96,389.7,71.97,0,0,20.41
3/2/2022 11:38,9,754.8,70.42,51.67,67.36,52.02,51.98,396,72.15,0,0,20.45
3/2/2022 11:40,10,754,70.54,51.77,67.44,52.07,51.99,400.2,72.27,0,0,20.5
3/2/2022 11:42,11,754.3,70.68,51.8,67.42,52.06,52.01,404.2,72.38,0,0,20.53
3/2/2022 11:44,12,754.3,70.78,51.75,67.46,52.13,52,407.4,72.5,0,0,20.56
3/2/2022 11:46,13,754.2,70.92,51.82,67.52,52.14,52.01,409.9,72.63,0,0,20.59
3/2/2022 11:48,14,754.2,71.02,51.76,67.65,52.05,52.03,411.8,72.75,0,0,20.62
3/2/2022 11:50,15,754.2,71.16,51.8,67.67,52.01,52.02,413.4,72.87,0,0,20.65
3/2/2022 11:52,16,754.1,71.32,51.93,67.81,52.02,52.04,414.7,73.02,0,0,20.67
3/2/2022 11:54,17,754.2,71.48,52.01,67.78,51.96,52.06,415.8,73.17,0,0,20.7
3/2/2022 11:56,18,754.1,71.63,52.06,67.8,51.95,52.07,416.7,73.3,0,0,20.72
3/2/2022 11:58,19,754.2,71.78,52.06,67.84,51.95,52.07,417.6,73.4,0,0,20.74
3/2/2022 12:00,20,754.3,71.88,51.99,67.9,51.99,52.08,418.4,73.49,0,0,20.76
3/2/2022 12:02,21,754.2,72,52.08,68,52.01,52.08,419,73.54,0,0,20.77
3/2/2022 12:04,22,754.2,72.11,51.99,68.06,52.01,52.08,419.6,73.58,0,0,20.79
3/2/2022 12:06,23,754.2,72.21,52.05,68.15,52.05,52.05,420.1,73.61,0,0,20.81
3/2/2022 12:08,24,754.2,72.34,52.05,68.2,52.01,52.09,420.6,73.67,0,0,20.82
3/2/2022 12:10,25,754.3,72.45,52.03,68.25,51.99,52.1,420.9,73.75,0,0,20.84
3/2/2022 12:12,26,754.2,72.57,52.06,68.3,51.99,52.09,421.2,73.83,0,0,20.85
3/2/2022 12:14,27,754.3,72.68,52.1,68.4,52.06,52.11,421.5,73.89,0,0,20.87
3/2/2022 12:16,28,754.3,72.81,52.08,68.42,51.97,52.11,421.8,73.97,0,0,20.89
3/2/2022 12:18,29,754.3,72.94,52.02,68.48,51.96,52.09,421.9,74.09,0,0,20.9
3/2/2022 12:20,30,754.2,73.02,52.02,68.53,51.91,52.1,422.1,74.19,0,0,20.92
3/2/2022 12:22,31,754.3,73.16,52.2,68.61,51.94,52.08,422.2,74.33,0,0,20.94
3/2/2022 12:24,32,754.3,73.26,52.13,68.6,51.9,52.12,422.4,74.49,0,0,20.95
3/2/2022 12:26,33,754.3,73.36,52.12,68.67,51.9,52.17,422.5,74.59,0,0,20.96
3/2/2022 12:28,34,754.3,73.46,52.06,68.74,51.94,52.15,422.6,74.68,0,0,20.97
3/2/2022 12:30,35,754.3,73.56,52.01,68.75,51.91,52.17,422.7,74.73,0,0,20.99
3/2/2022 12:32,36,754.3,73.68,52.08,68.82,51.92,52.17,422.8,74.77,0,0,21.01
3/2/2022 12:34,37,754.4,73.75,51.92,68.86,51.86,52.15,422.8,74.81,0,0,21.02
3/2/2022 12:36,38,754.3,73.84,51.89,68.88,51.82,52.13,422.9,74.82,0,0,21.04
3/2/2022 12:38,39,754.4,73.91,51.98,68.94,51.85,52.17,422.9,74.84,0,0,21.05
3/2/2022 12:40,40,777.6,74.05,52.02,69.02,51.91,52.18,434,74.9,0,0,21.06
3/2/2022 12:42,41,863,74.29,52.17,69.2,52.19,52.21,476.8,74.94,0,0,21.07
3/2/2022 12:44,42,974,74.61,52.26,69.46,52.45,52.22,538.9,74.99,0,0,21.09
3/2/2022 12:46,43,1079,74.95,52.31,69.81,52.86,52.3,606.6,75.08,0,0,21.11
3/2/2022 12:48,44,1166,75.34,52.39,70.18,53.22,52.31,673.2,75.22,0,0,21.14
3/2/2022 12:50,45,1240,75.88,52.95,70.57,53.51,52.37,736.3,75.46,0,0,21.18
3/2/2022 12:52,46,1307,76.32,53.24,70.94,53.93,52.51,796.4,75.82,0,0,21.21
3/2/2022 12:54,47,1369,76.8,53.39,71.39,54.22,52.52,853,76.18,0,0,21.24
3/2/2022 12:56,48,1427,77.28,53.38,71.92,54.54,52.51,908,76.53,0,0,21.28
3/2/2022 12:58,49,1483,77.79,53.43,72.41,54.89,52.61,959,76.86,0,0,21.33
3/2/2022 13:00,50,1535,78.34,53.52,72.83,55.07,52.58,1008,77.18,0,0,21.38
3/2/2022 13:02,51,1585,78.88,53.64,73.23,55.33,52.64,1056,77.52,0,0,21.43
3/2/2022 13:04,52,1633,79.47,53.79,73.67,55.44,52.68,1102,77.88,0,0,21.49
3/2/2022 13:06,53,1678,79.98,54.11,74.09,55.7,52.71,1146,78.24,0,0,21.54
3/2/2022 13:08,54,1721,80.5,54.1,74.49,55.94,52.7,1190,78.57,0,0,21.61
3/2/2022 13:10,55,1762,81,54.44,74.82,56.64,52.73,1232,78.86,0,0,21.67
3/2/2022 13:12,56,1801,81.5,54.61,75.23,56.88,52.81,1272,79.27,0,0,21.74
3/2/2022 13:14,57,1839,82,54.68,75.69,57.04,52.8,1312,79.6,0,0,21.81
3/2/2022 13:16,58,1874,82.5,54.85,76.1,57.18,52.88,1351,79.95,0,0,21.87
3/2/2022 13:18,59,1909,83,55.3,76.54,57.37,52.87,1389,80.3,0,0,21.94
3/2/2022 13:20,60,1940,83.5,55.66,76.97,57.53,52.88,1430,80.8,0,0,21.99
3/2/2022 13:22,61,1970,84,55.87,77.37,57.58,52.94,1476,81.3,0,0,22.04
3/2/2022 13:24,62,1993,84.3,55.85,77.7,57.64,53.06,1516,81.6,0,0,22.08
3/2/2022 13:26,63,1999,84.7,56.05,78.07,57.7,53.03,1537,81.9,0,0,22.13
3/2/2022 13:28,64,2001,85.1,55.98,78.4,57.74,52.97,1545,82,0,0,22.18
3/2/2022 13:30,65,2002,85.4,55.98,78.73,57.81,52.99,1548,82.1,0,0,22.23
3/2/2022 13:32,66,2002,85.8,56.05,79.01,57.86,53.06,1550,82.3,0,0,22.29
3/2/2022 13:34,67,2003,86,55.99,79.28,57.86,53.1,1551,82.5,0,0,22.35
3/2/2022 13:36,68,2002,86.2,55.96,79.47,57.84,53.02,1547,82.6,0,0,22.4
3/2/2022 13:38,69,2002,86.5,56.06,79.7,57.9,53.03,1522,82.8,0,0,22.45
3/2/2022 13:40,70,2002,86.7,56.11,79.87,57.85,53.13,1516,82.9,0,0,22.49
3/2/2022 13:42,71,2002,86.9,56.09,80,57.79,53.11,1515,83,0,0,22.53
3/2/2022 13:44,72,2001,87.1,56.14,80.2,57.81,53.1,1513,83.1,0,0,22.57
3/2/2022 13:46,73,2001,87.3,56.09,80.3,57.83,53.11,1517,83.2,0,0,22.6
3/2/2022 13:48,74,2003,87.5,56.07,80.5,57.38,53.08,1539,83.4,0,0,22.64
3/2/2022 13:50,75,2000,87.7,55.85,80.7,57.08,53.06,1542,83.4,0,0,22.68
3/2/2022 13:52,76,2002,88,56.19,81,57.16,53.14,1549,83.7,0,0,22.71
3/2/2022 13:54,77,2002,88.3,56.32,81.3,57.27,53.25,1560,84,0,0,22.73
3/2/2022 13:56,78,1992,88.5,56.27,81.5,57.25,53.24,1551,84.2,0,0,22.74
3/2/2022 13:58,79,2001,88.7,56.4,81.7,57.41,53.31,1566,84.3,0,0,22.76
3/2/2022 14:00,80,1990,88.8,56.36,81.9,57.29,53.17,1560,84.4,0,0,22.78
3/2/2022 14:02,81,2001,89.1,56.4,82.2,57.29,53.29,1569,84.6,0,0,22.81
3/2/2022 14:04,82,2004,89.2,56.46,82.4,57.38,53.28,1573,84.9,0,0,22.84
3/2/2022 14:06,83,2005,89.5,56.25,82.5,57.28,53.27,1568,84.9,0,0,22.87
3/2/2022 14:08,84,2005,89.6,56.43,82.7,57.33,53.29,1566,84.9,0,0,22.91
3/2/2022 14:10,85,2004,89.8,56.45,82.9,57.3,53.24,1561,84.9,0,0,22.94
3/2/2022 14:12,86,2003,89.9,56.33,83,57.26,53.18,1557,84.9,0,0,22.97
3/2/2022 14:14,87,2003,90,56.45,83.1,57.27,53.18,1555,85,0,0,22.99
3/2/2022 14:16,88,2002,90,56.5,83.2,57.25,53.17,1554,85,0,0,23.01
3/2/2022 14:18,89,2002,90.1,56.41,83.2,57.25,53.14,1553,85.1,0,0,23.03
3/2/2022 14:20,90,2002,90.2,56.55,83.3,57.2,53.15,1553,85.2,0,0,23.04
3/2/2022 14:22,91,2002,90.3,56.76,83.5,57.31,53.24,1554,85.4,0,0,23.04
3/2/2022 14:24,92,2002,90.3,56.7,83.6,57.33,53.34,1554,85.5,0,0,23.04
3/2/2022 14:26,93,2002,90.3,56.63,83.6,57.3,53.37,1554,85.5,0,0,23.03
3/2/2022 14:28,94,2002,90.4,56.54,83.7,57.34,53.35,1554,85.5,0,0,23.04
3/2/2022 14:30,95,2002,90.4,56.57,83.7,57.36,53.31,1554,85.5,0,0,23.05
3/2/2022 14:32,96,2002,90.5,56.46,83.8,57.29,53.26,1554,85.5,0,0,23.07
3/2/2022 14:34,97,2002,90.5,56.46,83.8,57.25,53.25,1554,85.5,0,0,23.08
3/2/2022 14:36,98,2002,90.6,56.44,83.9,57.32,53.18,1554,85.5,0,0,23.1
3/2/2022 14:38,99,2002,90.6,56.52,84,57.18,53.14,1554,85.6,0,0,23.11
3/2/2022 14:40,100,2002,90.7,56.52,84.2,57.29,53.21,1554,85.7,0,0,23.11
3/2/2022 14:42,101,2002,90.7,56.74,84.3,57.31,53.23,1553,85.6,0,0,23.12
3/2/2022 14:44,102,2002,90.8,56.56,84.3,57.22,53.25,1554,85.6,0,0,23.12
3/2/2022 14:46,103,2002,90.8,56.53,84.4,57.31,53.27,1554,85.6,0,0,23.13
3/2/2022 14:48,104,2002,90.9,56.81,84.4,57.2,53.34,1554,85.7,0,0,23.13
3/2/2022 14:50,105,2002,90.9,56.85,84.5,57.32,53.39,1553,85.9,0,0,23.12
3/2/2022 14:52,106,2002,91,56.78,84.6,57.34,53.41,1553,86,0,0,23.1
3/2/2022 14:54,107,2002,91,56.69,84.6,57.41,53.33,1553,86.1,0,0,23.09
3/2/2022 14:56,108,2002,91,57.07,84.7,58.01,53.33,1552,86,0,0,23.09
3/2/2022 14:58,109,2002,91.1,56.89,84.8,57.87,53.23,1552,86.1,0,0,23.09
3/2/2022 15:00,110,2002,91.1,56.81,84.8,57.82,53.22,1552,86.1,0,0,23.1
3/2/2022 15:02,111,2002,91.1,56.85,84.9,57.84,53.06,1551,86,0,0,23.12
3/2/2022 15:04,112,2002,91.2,56.75,84.9,57.83,53.11,1551,86,0,0,23.14
3/2/2022 15:06,113,2002,91.2,56.69,85,57.82,53.01,1551,86,0,0,23.17
3/2/2022 15:08,114,2002,91.3,59.24,85.1,57.84,53.14,1562,86,0,1.65,23.2
3/2/2022 15:10,115,2003,91.3,61.33,85.1,57.89,53.24,1582,86.2,0,2.375,23.22
3/2/2022 15:12,116,2003,91.4,61.71,85.4,58.04,53.36,1592,86.5,0,2.375,23.22
3/2/2022 15:14,117,2003,91.5,61.57,85.6,58.14,53.47,1596,86.7,0,2.1,23.21
3/2/2022 15:16,118,2003,91.5,57.89,85.6,58.18,53.62,1572,86.8,0,0,23.2
3/2/2022 15:18,119,2002,91.5,57.68,85.7,58.15,53.57,1551,86.7,0,0,23.2
3/2/2022 15:20,120,2002,91.5,57.54,85.6,58.1,53.52,1546,86.5,0,0,23.21
3/2/2022 15:22,121,2002,91.5,57.56,85.6,58.04,53.41,1543,86.4,0,0,23.22
3/2/2022 15:24,122,2002,91.5,57.45,85.6,58.01,53.4,1542,86.4,0,0,23.24
3/2/2022 15:26,123,2002,91.5,57.68,85.6,58,53.36,1542,86.4,0,0,23.25
3/2/2022 15:28,124,2002,91.5,57.59,85.7,58.17,53.34,1541,86.4,0,0,23.27
3/2/2022 15:30,125,2002,91.6,57.42,85.8,57.77,53.34,1541,86.4,0,0,23.29
3/2/2022 15:32,126,2002,91.6,57.43,85.9,57.55,53.4,1541,86.3,0,0,23.31
3/2/2022 15:34,127,2002,91.7,57.32,85.9,57.57,53.44,1542,86.4,0,0,23.33
3/2/2022 15:36,128,2002,91.8,57.56,86,57.6,53.56,1542,86.5,0,0,23.34
3/2/2022 15:38,129,2003,91.9,57.64,86.1,57.53,53.57,1542,86.7,0,0,23.33
3/2/2022 15:40,130,2003,92.1,57.75,86.2,57.54,53.63,1542,86.9,0,0,23.32
3/2/2022 15:42,131,2002,92.1,57.56,86.3,57.58,53.56,1540,87,0,0,23.3
3/2/2022 15:44,132,2002,92.1,57.57,86.4,57.54,53.67,1538,87,0,0,23.29
3/2/2022 15:46,133,2003,92.2,57.55,86.5,57.51,53.66,1544,87,0,0,23.29
3/2/2022 15:48,134,2003,92.2,57.35,86.5,57.47,53.57,1544,86.9,0,0,23.3
3/2/2022 15:50,135,2003,92.2,57.32,86.5,57.39,53.45,1542,86.9,0,0,23.32
3/2/2022 15:52,136,2003,92.3,57.5,86.6,57.47,53.48,1541,86.9,0,0,23.34
3/2/2022 15:54,137,2003,92.4,57.28,86.6,57.37,53.43,1541,86.9,0,0,23.36
3/2/2022 15:56,138,2003,92.4,57.37,86.6,57.48,53.48,1540,87,0,0,23.38
3/2/2022 15:58,139,2003,92.4,57.34,86.7,57.39,53.5,1540,87,0,0,23.4
3/2/2022 16:00,140,2002,92.4,57.43,86.7,57.38,53.47,1540,86.9,0,0,23.41
3/2/2022 16:02,141,2003,92.4,57.42,86.8,57.4,53.53,1540,86.9,0,0,23.42
3/2/2022 16:04,142,2003,92.5,57.34,86.8,57.39,53.48,1540,87,0,0,23.43
3/2/2022 16:06,143,2002,92.5,57.3,86.8,57.43,53.51,1540,86.9,0,0,23.44
3/2/2022 16:08,144,2002,92.6,57.33,86.9,57.42,53.49,1540,86.9,0,0,23.46
